student_id,date,minutes_on_site
0,2018-09-17,14
0,2018-09-19,8
0,2018-09-25,34
0,2018-09-27,28
0,2018-09-28,37
0,2018-09-30,27
0,2018-10-01,4
0,2018-10-13,4
0,2018-10-18,19
0,2018-10-19,33
0,2018-10-26,2
0,2018-10-27,52
0,2018-10-31,52
0,2018-11-01,18
0,2018-11-18,45
0,2018-11-22,11
0,2018-11-23,60
0,2018-12-03,38
0,2018-12-14,3
1,2018-09-16,30
1,2018-09-22,28
1,2018-09-29,54
1,2018-10-05,33
1,2018-10-10,23
1,2018-10-30,45
1,2018-11-02,10
1,2018-11-09,25
1,2018-11-20,25
1,2018-11-24,24
1,2018-11-26,32
1,2018-11-29,29
1,2018-12-02,62
2,2018-09-17,47
2,2018-10-07,6
2,2018-10-21,1
3,2018-09-17,32
3,2018-09-24,45
3,2018-09-27,28
3,2018-09-30,24
4,2018-09-17,14
5,2018-09-17,21
6,2018-09-17,21
6,2018-09-18,28
6,2018-10-09,23
6,2018-10-14,22
6,2018-10-15,42
6,2018-10-29,33
6,2018-11-02,37
6,2018-11-09,17
6,2018-11-14,6
6,2018-11-20,15
6,2018-11-30,4
6,2018-12-09,70
7,2018-09-15,25
7,2018-09-19,28
8,2018-09-17,35
8,2018-09-18,33
8,2018-09-23,18
8,2018-09-27,17
8,2018-10-10,20
9,2018-09-17,37
9,2018-09-24,21
9,2018-09-29,32
10,2018-09-18,28
10,2018-09-19,64
10,2018-09-25,40
10,2018-09-26,23
10,2018-09-27,4
10,2018-09-30,26
10,2018-10-16,55
10,2018-10-19,27
10,2018-10-30,80
10,2018-11-01,29
10,2018-11-03,5
10,2018-11-06,32
10,2018-11-13,177
10,2018-11-19,16
10,2018-11-23,123
10,2018-11-26,105
10,2018-11-28,24
10,2018-12-12,13
10,2018-12-16,47
10,2018-12-23,131
11,2018-09-16,23
11,2018-09-17,15
11,2018-09-19,36
11,2018-10-02,22
11,2018-10-05,4
12,2018-09-15,19
12,2018-10-01,51
12,2018-10-06,31
12,2018-10-16,36
12,2018-10-25,40
13,2018-09-16,22
13,2018-09-20,54
13,2018-09-27,30
13,2018-10-03,28
13,2018-10-16,8
13,2018-10-20,3
13,2018-11-13,17
14,2018-09-17,21
14,2018-09-21,45
14,2018-10-05,20
14,2018-10-07,49
