student_id,section,subsection,video_id,date_viewed,duration_seconds,watched_seconds
0,Week 1,Lecture 1,lec1_v0,2018-09-25,389,272
0,Week 1,Lecture 1,lec1_v1,2018-09-25,564,164
0,Week 1,Lecture 1,lec1_v2,2018-09-17,343,93
0,Week 1,Lecture 1,lec1_v3,2018-09-28,364,358
0,Week 1,Lecture 1,lec1_v4,2018-10-19,402,229
0,Week 1,Lecture 1,lec1_v5,2018-10-19,208,171
0,Week 1,Lecture 1,lec1_v6,2018-10-27,366,255
0,Week 1,Lecture 1,lec1_v7,2018-10-31,422,116
0,Week 1,Lecture 2,lec2_v0,2018-11-23,265,140
0,Week 1,Lecture 2,lec2_v1,2018-10-31,163,163
0,Week 1,Lecture 2,lec2_v2,2018-10-27,509,397
0,Week 1,Lecture 2,lec2_v3,2018-11-23,453,176
0,Week 2,Lecture 3,lec3_v0,2018-11-23,584,345
0,Week 2,Lecture 3,lec3_v1,2018-11-23,434,174
0,Week 2,Lecture 3,lec3_v10,2018-12-03,343,219
0,Week 2,Lecture 3,lec3_v11,2018-12-03,331,178
0,Week 2,Lecture 3,lec3_v3,2018-11-18,195,134
0,Week 2,Lecture 3,lec3_v4,2018-10-27,127,127
1,Week 1,Lecture 1,lec1_v0,2018-11-26,389,247
1,Week 1,Lecture 1,lec1_v1,2018-11-09,564,135
1,Week 1,Lecture 1,lec1_v2,2018-09-29,343,272
1,Week 1,Lecture 1,lec1_v3,2018-09-29,364,343
1,Week 1,Lecture 1,lec1_v4,2018-10-05,402,305
1,Week 1,Lecture 1,lec1_v5,2018-10-05,208,98
1,Week 1,Lecture 1,lec1_v6,2018-12-02,366,121
1,Week 1,Lecture 1,lec1_v7,2018-11-29,422,148
1,Week 1,Lecture 2,lec2_v1,2018-12-02,163,108
1,Week 1,Lecture 2,lec2_v3,2018-11-29,453,220
1,Week 2,Lecture 3,lec3_v1,2018-12-02,434,103
2,Week 1,Lecture 1,lec1_v1,2018-09-17,564,100
2,Week 1,Lecture 1,lec1_v2,2018-09-17,343,243
2,Week 1,Lecture 1,lec1_v3,2018-09-17,364,43
3,Week 1,Lecture 1,lec1_v0,2018-09-24,389,330
3,Week 1,Lecture 1,lec1_v1,2018-09-30,564,255
3,Week 1,Lecture 1,lec1_v3,2018-09-27,364,170
